type,content_json
Concept + Code,"{""question"": ""How is Heap implemented?"", ""answer"": ""Complete binary tree for priority."", ""code"": ""// Implementing Heap\nfunction init_heap() {}"", ""explanation"": ""This block initializes the Heap logic for use in DS."", ""language"": ""Java""}"
Theory,"{""title"": ""Segmentation"", ""summary"": ""Deep dive into the OS theory of Segmentation."", ""key_points"": [""Logical memory grouping."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Concept + Code,"{""question"": ""How is Paging implemented?"", ""answer"": ""Non-contiguous memory management."", ""code"": ""// Implementing Paging\nfunction init_paging() {}"", ""explanation"": ""This block initializes the Paging logic for use in OS."", ""language"": ""Python""}"
Comparison,"{""topic"": ""Merge Sort vs DP"", ""concept_a"": ""Merge Sort"", ""concept_b"": ""DP"", ""difference"": ""Merge Sort is Divide and conquer sorting algorithm. while DP is Solving via subproblem memoization."", ""use_case"": ""Stable sorting requirements. vs Optimization problems (Knapsack).""}"
Concept + Code,"{""question"": ""How is DP implemented?"", ""answer"": ""Solving via subproblem memoization."", ""code"": ""// Implementing DP\nfunction init_dp() {}"", ""explanation"": ""This block initializes the DP logic for use in Algo."", ""language"": ""Python""}"
Theory,"{""title"": ""Segmentation"", ""summary"": ""Deep dive into the OS theory of Segmentation."", ""key_points"": [""Logical memory grouping."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Concept + Code,"{""question"": ""How is Normalization implemented?"", ""answer"": ""Reducing data redundancy."", ""code"": ""// Implementing Normalization\nfunction init_normalization() {}"", ""explanation"": ""This block initializes the Normalization logic for use in DBMS."", ""language"": ""Java""}"
Theory,"{""title"": ""Git"", ""summary"": ""Deep dive into the Tools theory of Git."", ""key_points"": [""Software collaboration."", ""Part of Tools domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Tools""}"
Comparison,"{""topic"": ""Neural Network vs Deadlock"", ""concept_a"": ""Neural Network"", ""concept_b"": ""Deadlock"", ""difference"": ""Neural Network is Nodes mimicking brain neurons. while Deadlock is Mutual blocking of resource waiting."", ""use_case"": ""Machine learning, AI vision. vs Operating system resource safety.""}"
Concept + Code,"{""question"": ""How is Normalization implemented?"", ""answer"": ""Reducing data redundancy."", ""code"": ""// Implementing Normalization\nfunction init_normalization() {}"", ""explanation"": ""This block initializes the Normalization logic for use in DBMS."", ""language"": ""Java""}"
Theory,"{""title"": ""Graph"", ""summary"": ""Deep dive into the DS theory of Graph."", ""key_points"": [""Social networks, maps."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Theory,"{""title"": ""TCP"", ""summary"": ""Deep dive into the NW theory of TCP."", ""key_points"": [""Web traffic, file transfer."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Concept + Code,"{""question"": ""How is Process implemented?"", ""answer"": ""Program in execution."", ""code"": ""// Implementing Process\nfunction init_process() {}"", ""explanation"": ""This block initializes the Process logic for use in OS."", ""language"": ""Python""}"
Concept + Code,"{""question"": ""How is Stack implemented?"", ""answer"": ""LIFO linear data structure."", ""code"": {""c"": ""#include <stdio.h>\n#define MAX 100\nint stack[MAX], top = -1;\nvoid push(int x) { if(top < MAX-1) stack[++top] = x; }\nint pop() { return (top >= 0) ? stack[top--] : -1; }\nint main() { push(10); printf(\""%d\"", pop()); return 0; }"", ""cpp"": ""#include <iostream>\n#include <stack>\nint main() { std::stack<int> s; s.push(10); std::cout << s.top(); s.pop(); return 0; }"", ""python"": ""class Stack:\n    def __init__(self): self.items = []\n    def push(self, x): self.items.append(x)\n    def pop(self): return self.items.pop() if self.items else None\ns = Stack(); s.push(10); print(s.pop())""}, ""explanation"": ""A Stack is a fundamental LIFO (Last-In, First-Out) data structure. It mimics a physical stack of plates where elements are added (Push) and removed (Pop) only from the Top. Internally, it can be implemented using arrays or linked lists. It is crucial for expression parsing, depth-first search, and managing function calls in the OS kernel. Key operations take O(1) time. Overflow occurs when the fixed size is exceeded, while Underflow happens on pop from an empty stack."", ""language"": ""C / C++ / Python""}"
Theory,"{""title"": ""Heap"", ""summary"": ""Deep dive into the DS theory of Heap."", ""key_points"": [""Priority queues, Heap Sort."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Theory,"{""title"": ""Quantum Bit"", ""summary"": ""Deep dive into the Adv theory of Quantum Bit."", ""key_points"": [""Quantum computing parallelism."", ""Part of Adv domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Adv""}"
Comparison,"{""topic"": ""Segmentation vs Thread"", ""concept_a"": ""Segmentation"", ""concept_b"": ""Thread"", ""difference"": ""Segmentation is Variable size memory partitioning. while Thread is Lightweight execution unit."", ""use_case"": ""Logical memory grouping. vs Parallel processing in applications.""}"
Comparison,"{""topic"": ""Segmentation vs Neural Network"", ""concept_a"": ""Segmentation"", ""concept_b"": ""Neural Network"", ""difference"": ""Segmentation is Variable size memory partitioning. while Neural Network is Nodes mimicking brain neurons."", ""use_case"": ""Logical memory grouping. vs Machine learning, AI vision.""}"
Concept + Code,"{""question"": ""How is DP implemented?"", ""answer"": ""Solving via subproblem memoization."", ""code"": ""// Implementing DP\nfunction init_dp() {}"", ""explanation"": ""This block initializes the DP logic for use in Algo."", ""language"": ""Python""}"
Concept + Code,"{""question"": ""How is UDP implemented?"", ""answer"": ""Connectionless fast protocol."", ""code"": ""// Implementing UDP\nfunction init_udp() {}"", ""explanation"": ""This block initializes the UDP logic for use in NW."", ""language"": ""Java""}"
Theory,"{""title"": ""OSI Model"", ""summary"": ""Deep dive into the NW theory of OSI Model."", ""key_points"": [""Standardizing communication."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Theory,"{""title"": ""DNS"", ""summary"": ""Deep dive into the NW theory of DNS."", ""key_points"": [""Human-friendly web navigation."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Concept + Code,"{""question"": ""How is Git implemented?"", ""answer"": ""Distributed version control."", ""code"": ""// Implementing Git\nfunction init_git() {}"", ""explanation"": ""This block initializes the Git logic for use in Tools."", ""language"": ""C++""}"
Theory,"{""title"": ""Process"", ""summary"": ""Deep dive into the OS theory of Process."", ""key_points"": [""Multi-tasking environments."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Concept + Code,"{""question"": ""How is Paging implemented?"", ""answer"": ""Non-contiguous memory management."", ""code"": ""// Implementing Paging\nfunction init_paging() {}"", ""explanation"": ""This block initializes the Paging logic for use in OS."", ""language"": ""Python""}"
Concept + Code,"{""question"": ""How is Stack implemented?"", ""answer"": ""LIFO linear data structure."", ""code"": {""c"": ""#include <stdio.h>\n#define MAX 100\nint stack[MAX], top = -1;\nvoid push(int x) { if(top < MAX-1) stack[++top] = x; }\nint pop() { return (top >= 0) ? stack[top--] : -1; }\nint main() { push(10); printf(\""%d\"", pop()); return 0; }"", ""cpp"": ""#include <iostream>\n#include <stack>\nint main() { std::stack<int> s; s.push(10); std::cout << s.top(); s.pop(); return 0; }"", ""python"": ""class Stack:\n    def __init__(self): self.items = []\n    def push(self, x): self.items.append(x)\n    def pop(self): return self.items.pop() if self.items else None\ns = Stack(); s.push(10); print(s.pop())""}, ""explanation"": ""A Stack is a fundamental LIFO (Last-In, First-Out) data structure. It mimics a physical stack of plates where elements are added (Push) and removed (Pop) only from the Top. Internally, it can be implemented using arrays or linked lists. It is crucial for expression parsing, depth-first search, and managing function calls in the OS kernel. Key operations take O(1) time. Overflow occurs when the fixed size is exceeded, while Underflow happens on pop from an empty stack."", ""language"": ""C / C++ / Python""}"
Comparison,"{""topic"": ""Hash Map vs IP Address"", ""concept_a"": ""Hash Map"", ""concept_b"": ""IP Address"", ""difference"": ""Hash Map is Key-value mapping via hashing. while IP Address is Numerical label for network device."", ""use_case"": ""Database indexes, O(1) search. vs Routing and identification.""}"
Concept + Code,"{""question"": ""How is Git implemented?"", ""answer"": ""Distributed version control."", ""code"": ""// Implementing Git\nfunction init_git() {}"", ""explanation"": ""This block initializes the Git logic for use in Tools."", ""language"": ""Python""}"
Concept + Code,"{""question"": ""How is TCP implemented?"", ""answer"": ""Connection-oriented reliable protocol."", ""code"": ""// Implementing TCP\nfunction init_tcp() {}"", ""explanation"": ""This block initializes the TCP logic for use in NW."", ""language"": ""Java""}"
Comparison,"{""topic"": ""OSI Model vs Normalization"", ""concept_a"": ""OSI Model"", ""concept_b"": ""Normalization"", ""difference"": ""OSI Model is Layered network framework. while Normalization is Reducing data redundancy."", ""use_case"": ""Standardizing communication. vs Schema design optimization.""}"
Comparison,"{""topic"": ""Quantum Bit vs Deadlock"", ""concept_a"": ""Quantum Bit"", ""concept_b"": ""Deadlock"", ""difference"": ""Quantum Bit is Basic unit of quantum info. while Deadlock is Mutual blocking of resource waiting."", ""use_case"": ""Quantum computing parallelism. vs Operating system resource safety.""}"
Concept + Code,"{""question"": ""How is DNS implemented?"", ""answer"": ""Domain name to IP resolution."", ""code"": ""// Implementing DNS\nfunction init_dns() {}"", ""explanation"": ""This block initializes the DNS logic for use in NW."", ""language"": ""C++""}"
Comparison,"{""topic"": ""Segmentation vs Graph"", ""concept_a"": ""Segmentation"", ""concept_b"": ""Graph"", ""difference"": ""Segmentation is Variable size memory partitioning. while Graph is Nodes and edges representing relations."", ""use_case"": ""Logical memory grouping. vs Social networks, maps.""}"
Theory,"{""title"": ""Process"", ""summary"": ""Deep dive into the OS theory of Process."", ""key_points"": [""Multi-tasking environments."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Concept + Code,"{""question"": ""How is Process implemented?"", ""answer"": ""Program in execution."", ""code"": ""// Implementing Process\nfunction init_process() {}"", ""explanation"": ""This block initializes the Process logic for use in OS."", ""language"": ""Java""}"
Comparison,"{""topic"": ""Dijkstra vs Quantum Bit"", ""concept_a"": ""Dijkstra"", ""concept_b"": ""Quantum Bit"", ""difference"": ""Dijkstra is Shortest path in weighted graph. while Quantum Bit is Basic unit of quantum info."", ""use_case"": ""Network routing, GPS. vs Quantum computing parallelism.""}"
Theory,"{""title"": ""Process"", ""summary"": ""Deep dive into the OS theory of Process."", ""key_points"": [""Multi-tasking environments."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Theory,"{""title"": ""Git"", ""summary"": ""Deep dive into the Tools theory of Git."", ""key_points"": [""Software collaboration."", ""Part of Tools domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Tools""}"
Theory,"{""title"": ""Hash Map"", ""summary"": ""Deep dive into the DS theory of Hash Map."", ""key_points"": [""Database indexes, O(1) search."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Theory,"{""title"": ""UDP"", ""summary"": ""Deep dive into the NW theory of UDP."", ""key_points"": [""Gaming, streaming."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Concept + Code,"{""question"": ""How is Neural Network implemented?"", ""answer"": ""Nodes mimicking brain neurons."", ""code"": ""// Implementing Neural Network\nfunction init_neural_network() {}"", ""explanation"": ""This block initializes the Neural Network logic for use in Adv."", ""language"": ""C++""}"
Theory,"{""title"": ""Graph"", ""summary"": ""Deep dive into the DS theory of Graph."", ""key_points"": [""Social networks, maps."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Concept + Code,"{""question"": ""How is SQL Join implemented?"", ""answer"": ""Combining rows from multiple tables."", ""code"": ""// Implementing SQL Join\nfunction init_sql_join() {}"", ""explanation"": ""This block initializes the SQL Join logic for use in DBMS."", ""language"": ""Python""}"
Concept + Code,"{""question"": ""How is TCP implemented?"", ""answer"": ""Connection-oriented reliable protocol."", ""code"": ""// Implementing TCP\nfunction init_tcp() {}"", ""explanation"": ""This block initializes the TCP logic for use in NW."", ""language"": ""C++""}"
Theory,"{""title"": ""Graph"", ""summary"": ""Deep dive into the DS theory of Graph."", ""key_points"": [""Social networks, maps."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Concept + Code,"{""question"": ""How is Hash Map implemented?"", ""answer"": ""Key-value mapping via hashing."", ""code"": {""c"": ""struct Entry { int key; int value; struct Entry* next; };"", ""cpp"": ""#include <unordered_map>\nstd::unordered_map<int, int> map; map[1] = 10;"", ""python"": ""hash_map = {}\nhash_map['key'] = 'value'""}, ""explanation"": ""A Hash Map (or Hash Table) stores key-value pairs and uses a Hash Function to compute an index in an array. This allows for near constant-time O(1) average lookup, insertion, and deletion. Collisions (when two keys hash to the same index) are handled via Chaining (linked lists at indices) or Open Addressing (finding next available slots). Performance depends heavily on the quality of the hash function and the load factor of the table."", ""language"": ""C / C++ / Python""}"
Concept + Code,"{""question"": ""How is OSI Model implemented?"", ""answer"": ""Layered network framework."", ""code"": ""// Implementing OSI Model\nfunction init_osi_model() {}"", ""explanation"": ""This block initializes the OSI Model logic for use in NW."", ""language"": ""C++""}"
Theory,"{""title"": ""Binary Tree"", ""summary"": ""Deep dive into the DS theory of Binary Tree."", ""key_points"": [""File systems, search trees."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Theory,"{""title"": ""IP Address"", ""summary"": ""Deep dive into the NW theory of IP Address."", ""key_points"": [""Routing and identification."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Theory,"{""title"": ""Graph"", ""summary"": ""Deep dive into the DS theory of Graph."", ""key_points"": [""Social networks, maps."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Concept + Code,"{""question"": ""How is ACID implemented?"", ""answer"": ""Database transaction properties."", ""code"": ""// Implementing ACID\nfunction init_acid() {}"", ""explanation"": ""This block initializes the ACID logic for use in DBMS."", ""language"": ""Python""}"
Theory,"{""title"": ""Binary Tree"", ""summary"": ""Deep dive into the DS theory of Binary Tree."", ""key_points"": [""File systems, search trees."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Theory,"{""title"": ""Quantum Bit"", ""summary"": ""Deep dive into the Adv theory of Quantum Bit."", ""key_points"": [""Quantum computing parallelism."", ""Part of Adv domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Adv""}"
Comparison,"{""topic"": ""Binary Tree vs Docker"", ""concept_a"": ""Binary Tree"", ""concept_b"": ""Docker"", ""difference"": ""Binary Tree is Hierarchical structure with 2 children. while Docker is Containerization platform."", ""use_case"": ""File systems, search trees. vs App deployment consistency.""}"
Theory,"{""title"": ""Paging"", ""summary"": ""Deep dive into the OS theory of Paging."", ""key_points"": [""Virtual memory systems."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Comparison,"{""topic"": ""Thread vs Git"", ""concept_a"": ""Thread"", ""concept_b"": ""Git"", ""difference"": ""Thread is Lightweight execution unit. while Git is Distributed version control."", ""use_case"": ""Parallel processing in applications. vs Software collaboration.""}"
Comparison,"{""topic"": ""Thread vs Queue"", ""concept_a"": ""Thread"", ""concept_b"": ""Queue"", ""difference"": ""Thread is Lightweight execution unit. while Queue is FIFO linear data structure."", ""use_case"": ""Parallel processing in applications. vs Scheduling, Buffering.""}"
Comparison,"{""topic"": ""Merge Sort vs Merge Sort"", ""concept_a"": ""Merge Sort"", ""concept_b"": ""Merge Sort"", ""difference"": ""Merge Sort is Divide and conquer sorting algorithm. while Merge Sort is Divide and conquer sorting algorithm."", ""use_case"": ""Stable sorting requirements. vs Stable sorting requirements.""}"
Concept + Code,"{""question"": ""How is Git implemented?"", ""answer"": ""Distributed version control."", ""code"": ""// Implementing Git\nfunction init_git() {}"", ""explanation"": ""This block initializes the Git logic for use in Tools."", ""language"": ""Java""}"
Concept + Code,"{""question"": ""How is Process implemented?"", ""answer"": ""Program in execution."", ""code"": ""// Implementing Process\nfunction init_process() {}"", ""explanation"": ""This block initializes the Process logic for use in OS."", ""language"": ""Java""}"
Concept + Code,"{""question"": ""How is Quick Sort implemented?"", ""answer"": ""Pivot-based partitioning sort."", ""code"": {""c"": ""int partition(int a[], int l, int h) { int p = a[h], i = (l-1); /* Swap logic */ }\nvoid quickSort(int a[], int l, int h) {\n    if(l<h) { int pi = partition(a, l, h); quickSort(a, l, pi-1); quickSort(a, pi+1, h); }\n}"", ""cpp"": ""#include <algorithm>\nvoid qsort(std::vector<int>& v) { std::sort(v.begin(), v.end()); }"", ""python"": ""def quicksort(arr):\n    if len(arr) <= 1: return arr\n    pivot = arr[len(arr)//2]\n    left = [x for x in arr if x < pivot]\n    # middle & right...""}, ""explanation"": ""Quick Sort is a highly efficient, in-place sorting algorithm based on the divide-and-conquer principle. It selects a 'pivot' element and partitions the array such that elements smaller than the pivot are on the left and larger on the right. It then recursively sorts the sub-arrays. While its worst-case is O(n\u00b2), its average-case is O(n log n) with a very small constant factor, often outperforming Merge Sort in practice. Randomized pivot selection is commonly used to avoid the worst-case scenario."", ""language"": ""C / C++ / Python""}"
Theory,"{""title"": ""TCP"", ""summary"": ""Deep dive into the NW theory of TCP."", ""key_points"": [""Web traffic, file transfer."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Comparison,"{""topic"": ""Docker vs Dijkstra"", ""concept_a"": ""Docker"", ""concept_b"": ""Dijkstra"", ""difference"": ""Docker is Containerization platform. while Dijkstra is Shortest path in weighted graph."", ""use_case"": ""App deployment consistency. vs Network routing, GPS.""}"
Concept + Code,"{""question"": ""How is TCP implemented?"", ""answer"": ""Connection-oriented reliable protocol."", ""code"": ""// Implementing TCP\nfunction init_tcp() {}"", ""explanation"": ""This block initializes the TCP logic for use in NW."", ""language"": ""C++""}"
Comparison,"{""topic"": ""TCP vs Stack"", ""concept_a"": ""TCP"", ""concept_b"": ""Stack"", ""difference"": ""TCP is Connection-oriented reliable protocol. while Stack is LIFO linear data structure."", ""use_case"": ""Web traffic, file transfer. vs Recursion, Undo logic.""}"
Concept + Code,"{""question"": ""How is SQL Join implemented?"", ""answer"": ""Combining rows from multiple tables."", ""code"": ""// Implementing SQL Join\nfunction init_sql_join() {}"", ""explanation"": ""This block initializes the SQL Join logic for use in DBMS."", ""language"": ""C++""}"
Concept + Code,"{""question"": ""How is Git implemented?"", ""answer"": ""Distributed version control."", ""code"": ""// Implementing Git\nfunction init_git() {}"", ""explanation"": ""This block initializes the Git logic for use in Tools."", ""language"": ""Java""}"
Comparison,"{""topic"": ""SQL Join vs Merge Sort"", ""concept_a"": ""SQL Join"", ""concept_b"": ""Merge Sort"", ""difference"": ""SQL Join is Combining rows from multiple tables. while Merge Sort is Divide and conquer sorting algorithm."", ""use_case"": ""Relational data retrieval. vs Stable sorting requirements.""}"
Concept + Code,"{""question"": ""How is ACID implemented?"", ""answer"": ""Database transaction properties."", ""code"": ""// Implementing ACID\nfunction init_acid() {}"", ""explanation"": ""This block initializes the ACID logic for use in DBMS."", ""language"": ""Python""}"
Comparison,"{""topic"": ""Graph vs DP"", ""concept_a"": ""Graph"", ""concept_b"": ""DP"", ""difference"": ""Graph is Nodes and edges representing relations. while DP is Solving via subproblem memoization."", ""use_case"": ""Social networks, maps. vs Optimization problems (Knapsack).""}"
Comparison,"{""topic"": ""Hash Map vs Hash Map"", ""concept_a"": ""Hash Map"", ""concept_b"": ""Hash Map"", ""difference"": ""Hash Map is Key-value mapping via hashing. while Hash Map is Key-value mapping via hashing."", ""use_case"": ""Database indexes, O(1) search. vs Database indexes, O(1) search.""}"
Theory,"{""title"": ""TCP"", ""summary"": ""Deep dive into the NW theory of TCP."", ""key_points"": [""Web traffic, file transfer."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Concept + Code,"{""question"": ""How is Paging implemented?"", ""answer"": ""Non-contiguous memory management."", ""code"": ""// Implementing Paging\nfunction init_paging() {}"", ""explanation"": ""This block initializes the Paging logic for use in OS."", ""language"": ""Python""}"
Theory,"{""title"": ""Merge Sort"", ""summary"": ""Deep dive into the Algo theory of Merge Sort."", ""key_points"": [""Stable sorting requirements."", ""Part of Algo domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Algo""}"
Concept + Code,"{""question"": ""How is Linked List implemented?"", ""answer"": ""Chain of nodes with pointers."", ""code"": {""c"": ""#include <stdlib.h>\nstruct Node { int data; struct Node *next; };\nvoid insert(struct Node** head, int x) {\n    struct Node* n = malloc(sizeof(struct Node));\n    n->data = x; n->next = *head; *head = n;\n}"", ""cpp"": ""struct Node { int data; Node* next; };"", ""python"": ""class Node:\n    def __init__(self, data): self.data = data; self.next = None""}, ""explanation"": ""Linked Lists are dynamic data structures consisting of nodes, where each node contains data and a pointer to the next node. Unlike arrays, they don't require contiguous memory and can grow/shrink easily. Operations like insertion and deletion at the head are O(1), but searching takes O(n). Types include Singly, Doubly (pointers in both directions), and Circular (last node points to first). Memory management is critical to avoid leaks."", ""language"": ""C / C++ / Python""}"
Concept + Code,"{""question"": ""How is Quantum Bit implemented?"", ""answer"": ""Basic unit of quantum info."", ""code"": ""// Implementing Quantum Bit\nfunction init_quantum_bit() {}"", ""explanation"": ""This block initializes the Quantum Bit logic for use in Adv."", ""language"": ""C++""}"
Comparison,"{""topic"": ""Thread vs TCP"", ""concept_a"": ""Thread"", ""concept_b"": ""TCP"", ""difference"": ""Thread is Lightweight execution unit. while TCP is Connection-oriented reliable protocol."", ""use_case"": ""Parallel processing in applications. vs Web traffic, file transfer.""}"
Concept + Code,"{""question"": ""How is Quick Sort implemented?"", ""answer"": ""Pivot-based partitioning sort."", ""code"": {""c"": ""int partition(int a[], int l, int h) { int p = a[h], i = (l-1); /* Swap logic */ }\nvoid quickSort(int a[], int l, int h) {\n    if(l<h) { int pi = partition(a, l, h); quickSort(a, l, pi-1); quickSort(a, pi+1, h); }\n}"", ""cpp"": ""#include <algorithm>\nvoid qsort(std::vector<int>& v) { std::sort(v.begin(), v.end()); }"", ""python"": ""def quicksort(arr):\n    if len(arr) <= 1: return arr\n    pivot = arr[len(arr)//2]\n    left = [x for x in arr if x < pivot]\n    # middle & right...""}, ""explanation"": ""Quick Sort is a highly efficient, in-place sorting algorithm based on the divide-and-conquer principle. It selects a 'pivot' element and partitions the array such that elements smaller than the pivot are on the left and larger on the right. It then recursively sorts the sub-arrays. While its worst-case is O(n\u00b2), its average-case is O(n log n) with a very small constant factor, often outperforming Merge Sort in practice. Randomized pivot selection is commonly used to avoid the worst-case scenario."", ""language"": ""C / C++ / Python""}"
Comparison,"{""topic"": ""Graph vs DNS"", ""concept_a"": ""Graph"", ""concept_b"": ""DNS"", ""difference"": ""Graph is Nodes and edges representing relations. while DNS is Domain name to IP resolution."", ""use_case"": ""Social networks, maps. vs Human-friendly web navigation.""}"
Theory,"{""title"": ""UDP"", ""summary"": ""Deep dive into the NW theory of UDP."", ""key_points"": [""Gaming, streaming."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Theory,"{""title"": ""Queue"", ""summary"": ""Deep dive into the DS theory of Queue."", ""key_points"": [""Scheduling, Buffering."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Comparison,"{""topic"": ""Heap vs OSI Model"", ""concept_a"": ""Heap"", ""concept_b"": ""OSI Model"", ""difference"": ""Heap is Complete binary tree for priority. while OSI Model is Layered network framework."", ""use_case"": ""Priority queues, Heap Sort. vs Standardizing communication.""}"
Comparison,"{""topic"": ""Big O vs Neural Network"", ""concept_a"": ""Big O"", ""concept_b"": ""Neural Network"", ""difference"": ""Big O is Worst-case complexity notation. while Neural Network is Nodes mimicking brain neurons."", ""use_case"": ""Algorithm analysis. vs Machine learning, AI vision.""}"
Theory,"{""title"": ""ACID"", ""summary"": ""Deep dive into the DBMS theory of ACID."", ""key_points"": [""Ensuring data integrity."", ""Part of DBMS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DBMS""}"
Comparison,"{""topic"": ""Big O vs Neural Network"", ""concept_a"": ""Big O"", ""concept_b"": ""Neural Network"", ""difference"": ""Big O is Worst-case complexity notation. while Neural Network is Nodes mimicking brain neurons."", ""use_case"": ""Algorithm analysis. vs Machine learning, AI vision.""}"
Comparison,"{""topic"": ""Thread vs ACID"", ""concept_a"": ""Thread"", ""concept_b"": ""ACID"", ""difference"": ""Thread is Lightweight execution unit. while ACID is Database transaction properties."", ""use_case"": ""Parallel processing in applications. vs Ensuring data integrity.""}"
Concept + Code,"{""question"": ""How is Neural Network implemented?"", ""answer"": ""Nodes mimicking brain neurons."", ""code"": ""// Implementing Neural Network\nfunction init_neural_network() {}"", ""explanation"": ""This block initializes the Neural Network logic for use in Adv."", ""language"": ""C++""}"
Concept + Code,"{""question"": ""How is Binary Tree implemented?"", ""answer"": ""Hierarchical structure with 2 children."", ""code"": ""// Implementing Binary Tree\nfunction init_binary_tree() {}"", ""explanation"": ""This block initializes the Binary Tree logic for use in DS."", ""language"": ""Java""}"
Comparison,"{""topic"": ""Queue vs Quantum Bit"", ""concept_a"": ""Queue"", ""concept_b"": ""Quantum Bit"", ""difference"": ""Queue is FIFO linear data structure. while Quantum Bit is Basic unit of quantum info."", ""use_case"": ""Scheduling, Buffering. vs Quantum computing parallelism.""}"
Comparison,"{""topic"": ""DP vs Binary Tree"", ""concept_a"": ""DP"", ""concept_b"": ""Binary Tree"", ""difference"": ""DP is Solving via subproblem memoization. while Binary Tree is Hierarchical structure with 2 children."", ""use_case"": ""Optimization problems (Knapsack). vs File systems, search trees.""}"
Theory,"{""title"": ""Merge Sort"", ""summary"": ""Deep dive into the Algo theory of Merge Sort."", ""key_points"": [""Stable sorting requirements."", ""Part of Algo domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Algo""}"
Concept + Code,"{""question"": ""How is ACID implemented?"", ""answer"": ""Database transaction properties."", ""code"": ""// Implementing ACID\nfunction init_acid() {}"", ""explanation"": ""This block initializes the ACID logic for use in DBMS."", ""language"": ""Python""}"
Concept + Code,"{""question"": ""How is Dijkstra implemented?"", ""answer"": ""Shortest path in weighted graph."", ""code"": {""c"": ""void dijkstra(int graph[V][V], int src) { /* Priority queue implementation required in C */ }"", ""cpp"": ""#include <set>\nvoid dijkstra(int s) { std::set<std::pair<int, int>> pq; pq.insert({0, s}); }"", ""python"": ""import heapq\ndef dijkstra(graph, start):\n    pq = [(0, start)]\n    while pq: (dist, u) = heapq.heappop(pq)""}, ""explanation"": ""Dijkstra's Algorithm finds the shortest path from a single source vertex to all other vertices in a weighted graph with non-negative edge weights. It uses a Greedy approach, maintaining a set of shortest-reach distances and a priority queue to pick the closest unvisited node. Its complexity is O((V+E) log V) with a binary heap. It is widely used in network routing and GPS navigation systems. Note: It fails on graphs with negative weights."", ""language"": ""C / C++ / Python""}"
Theory,"{""title"": ""TCP"", ""summary"": ""Deep dive into the NW theory of TCP."", ""key_points"": [""Web traffic, file transfer."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
